text,symptom_id,symptom_name,severity,esi_label,language,source,base_weight
I am here because my period is too much.,S005,heavy_menstrual_bleeding,mild,Low,en-KE,synthetic,7
Since I was young I have had changing pad every hour.,S005,heavy_menstrual_bleeding,critical,High,en-KE,synthetic,7
"Doctor, I have unbearable stomach swells up and I do not know what to do.",S014,bloating_abdominal,critical,High,en,synthetic,5
I have come to see the doctor because of changing pad every hour.,S005,heavy_menstrual_bleeding,critical,High,en-KE,synthetic,7
I want you to know that inner thigh pain during period.,S021,hip_groin_pain,critical,High,en,synthetic,6
I told the doctor that pain in bladder when urinating.,S015,dysuria,moderate,Moderate,en,synthetic,7
My main problem is extreme misdiagnosed.,S038,previous_misdiagnosis,critical,High,en,synthetic,6
I cannot work properly because of some cannot go to work.,S036,work_school_absence,mild,Low,en,synthetic,7
I told the doctor that I cannot move during my period.,S001,dysmenorrhoea,severe,High,en,synthetic,10
Sijui nifanye nini kuhusu kuumwa unapokojoa.,S015,dysuria,moderate,Moderate,sw,synthetic,7
My experience is that trying for a baby without success.,S026,infertility,mild,Moderate,en,synthetic,9
I told the doctor that doctors keep sending me away.,S038,previous_misdiagnosis,severe,Moderate,en-KE,synthetic,6
Sijui nifanye nini kuhusu sijapata mimba ingawa ninajaribu.,S026,infertility,mild,Moderate,sw,synthetic,9
Nilikuja hospitalini kwa sababu ya mgongo unaniuma.,S018,lower_back_pain,severe,Moderate,sw,synthetic,7
I am here because sijawahi pata mtoto ingawa ninajaribu.,S026,infertility,critical,Critical,sw,synthetic,9
big lump in scar needing operation.,S035,scar_endometriosis,critical,High,en,synthetic,7
I came to the clinic because of it hurts to poop.,S009,dyschezia,critical,Critical,en,synthetic,9
My main problem is severe cannot hold my bladder.,S017,urinary_frequency,severe,Moderate,en,synthetic,5
feel very ill during period.,S024,fever_cyclical,severe,Moderate,en,synthetic,5
I have been dealing with blood in urine for a while now.,S016,haematuria,mild,Moderate,en,synthetic,8
Sijui nifanye nini kuhusu kuzimia kutokana na maumivu.,S025,fainting_syncope,critical,High,sw,synthetic,8
I told the doctor that caesarean scar hurts during period.,S035,scar_endometriosis,severe,Moderate,en,synthetic,7
I came to the clinic because of hip aches sometimes.,S021,hip_groin_pain,mild,Low,en,synthetic,6
pain when going to the toilet.,S009,dyschezia,mild,Moderate,en-KE,synthetic,9
The problem I have is that I lose days every month.,S036,work_school_absence,severe,Moderate,en,synthetic,7
I want you to know that mgongo unaniuma wakati wa hedhi.,S018,lower_back_pain,mild,Low,en,synthetic,7
Nimekuwa na maumivu ya nyonga kwa muda mrefu.,S002,chronic_pelvic_pain,critical,Critical,sw,synthetic,10
I experience bloating every day regularly.,S014,bloating_abdominal,severe,Moderate,en,synthetic,5
I am here because sometimes cannot sleep during period.,S031,sleep_disturbance,mild,Low,en,synthetic,4
I am struggling with sciatic pain with period.,S019,leg_pain_sciatica,severe,Moderate,en,synthetic,7
I have been dealing with shoulder pain during period for a while now.,S020,shoulder_tip_pain,moderate,Moderate,en,synthetic,6
I have been dealing with feel sick during period for a while now.,S013,nausea_vomiting_cyclical,mild,Low,en,synthetic,6
"My experience is that miss school from period pain, for 12 years.",S036,work_school_absence,critical,High,en-KE,synthetic,7
I am here because chronic pain in my pelvis.,S002,chronic_pelvic_pain,mild,Moderate,en,synthetic,10
I am here because urine looks red during period.,S016,haematuria,mild,Moderate,en,synthetic,8
Nimekuwa na maumivu wakati wa kujamiiana kwa muda mrefu.,S006,dyspareunia_deep,moderate,Moderate,sw,synthetic,9
Tatizo langu kuu ni kuumwa unapokwenda chooni.,S009,dyschezia,severe,High,sw,synthetic,9
Tatizo langu kuu ni maumivu ya nyonga.,S002,chronic_pelvic_pain,moderate,High,sw,synthetic,10
blood in urine during period.,S015,dysuria,critical,High,en,synthetic,7
The problem I have is that blood in my poop during period.,S010,rectal_bleeding,mild,Moderate,en,synthetic,8
I cannot work properly because of belly distension.,S014,bloating_abdominal,moderate,Low,en,synthetic,5
The problem I have is that cycle is all over the place.,S027,irregular_periods,moderate,Low,en,synthetic,5
My main problem is my abdomen swells.,S014,bloating_abdominal,critical,High,en,synthetic,5
I am here because belly button bleeds during period.,S034,umbilical_pain_bleeding,critical,High,en,synthetic,8
I am struggling with worried about my condition.,S030,anxiety,mild,Low,en,synthetic,4
My experience is that slight pain when urinating on period.,S015,dysuria,mild,Low,en,synthetic,7
The problem I have is that severe pain every time I urinate during period.,S015,dysuria,severe,Moderate,en,synthetic,7
I want you to know that pain builds up before period.,S003,premenstrual_pain,moderate,Moderate,en,synthetic,7
Nina mgongo unaniuma.,S018,lower_back_pain,moderate,Moderate,sw,synthetic,7
I have excruciating bloody urine.,S016,haematuria,critical,High,en,synthetic,8
I experience painful periods regularly.,S001,dysmenorrhoea,mild,Moderate,en,synthetic,10
I told the doctor that pain starts days before period.,S003,premenstrual_pain,severe,Moderate,en,synthetic,7
Nimekuwa nikilalamika kuhusu kujamiiana kunauma.,S006,dyspareunia_deep,mild,Moderate,sw,synthetic,9
The problem I have is that painful lump at belly button.,S034,umbilical_pain_bleeding,critical,High,en,synthetic,8
Tatizo langu kuu ni damu nyingi sana.,S005,heavy_menstrual_bleeding,mild,Low,sw,synthetic,7
My main problem is more tired during period.,S022,fatigue_chronic,mild,Low,en,synthetic,7
The problem I have is that pain in my lower belly.,S002,chronic_pelvic_pain,severe,High,en-KE,synthetic,10
"I told the doctor that cannot work because I am so tired, since I was 17 years old.",S022,fatigue_chronic,severe,Moderate,en,synthetic,7
I cannot work properly because of spotting after sex.,S008,post_coital_bleeding,critical,High,en,synthetic,5
Tatizo langu kuu ni damu kidogo mwilini.,S023,anaemia,critical,High,sw,synthetic,6
I cannot work properly because of extreme hip pain.,S021,hip_groin_pain,critical,High,en,synthetic,6
I am struggling with have fainted during period.,S025,fainting_syncope,severe,High,en,synthetic,8
The problem I have is that told it is just period pain.,S038,previous_misdiagnosis,severe,Moderate,en-KE,synthetic,6
I cannot work properly because of cannot breathe during period.,S032,catamenial_pneumothorax,mild,Moderate,en,synthetic,9
I have had chronic pelvic pain since I was a teenager.,S002,chronic_pelvic_pain,severe,High,en,synthetic,10
The problem I have is that admitted to hospital for diarrhoea during period.,S012,diarrhoea_cyclical,critical,High,en,synthetic,5
I have unpredictable periods.,S027,irregular_periods,mild,Low,en,synthetic,5
I want you to know that total social withdrawal from anxiety.,S030,anxiety,critical,Moderate,en,synthetic,4
Nina sijapata mimba ingawa ninajaribu.,S026,infertility,critical,Critical,sw,synthetic,9
The problem I have is that blood when not on period.,S004,intermenstrual_bleeding,mild,Low,en-KE,synthetic,6
I am here because blood when not on period.,S004,intermenstrual_bleeding,critical,High,en-KE,synthetic,6
I have had sex always hurts since I was a teenager.,S006,dyspareunia_deep,severe,High,en,synthetic,9
I have been dealing with painful every time for a while now.,S007,dyspareunia_superficial,severe,Moderate,en,synthetic,6
Sijui nifanye nini kuhusu damu kidogo mwilini.,S023,anaemia,critical,High,sw,synthetic,6
The problem I have is that kuhisi kichefuchefu wakati wa hedhi.,S013,nausea_vomiting_cyclical,mild,Low,sw,synthetic,6
I have surgery for lung collapse.,S032,catamenial_pneumothorax,critical,Critical,en,synthetic,9
I have had unbearable lower abdomen pain since I was a teenager.,S002,chronic_pelvic_pain,critical,Critical,en,synthetic,10
Nilikuja hospitalini kwa sababu ya dawa hazisaidii maumivu yangu.,S038,previous_misdiagnosis,moderate,Moderate,sw,synthetic,6
For the past few months I have had regular cannot sleep from pain.,S031,sleep_disturbance,moderate,Low,en,synthetic,4
I have come to see the doctor because of pain passing urine.,S015,dysuria,severe,Moderate,en-KE,synthetic,7
I am struggling with moderate scar swells during period.,S035,scar_endometriosis,moderate,Moderate,en,synthetic,7
I experience anaemia from heavy periods regularly.,S023,anaemia,moderate,Moderate,en,synthetic,6
My experience is that pain in shoulder tip with period.,S020,shoulder_tip_pain,severe,Moderate,en,synthetic,6
I have pain when passing stool.,S009,dyschezia,critical,Critical,en,synthetic,9
I want you to know that pain even when I am not on my period.,S002,chronic_pelvic_pain,mild,Moderate,en-KE,synthetic,10
Nilikuja hospitalini kwa sababu ya dawa hazisaidii maumivu yangu.,S038,previous_misdiagnosis,critical,High,sw,synthetic,6
Nimekuwa nikilalamika kuhusu kuumwa unapokojoa.,S015,dysuria,critical,High,sw,synthetic,7
feeling of heaviness in lower belly.,S028,pelvic_mass_sensation,moderate,Moderate,en,synthetic,7
Nilikuja hospitalini kwa sababu ya kuumwa unapokojoa.,S015,dysuria,critical,High,sw,synthetic,7
I cannot work properly because of significant sleep problems.,S031,sleep_disturbance,moderate,Low,en,synthetic,4
pain for two weeks before period.,S003,premenstrual_pain,critical,High,en,synthetic,7
"I told the doctor that sometimes cannot sleep during period, for 2 years.",S031,sleep_disturbance,mild,Low,en,synthetic,4
I came to the clinic because of anxiety is disabling.,S030,anxiety,severe,Moderate,en,synthetic,4
The problem I have is that back pain is crippling during period.,S018,lower_back_pain,severe,Moderate,en,synthetic,7
I have temperature during period.,S024,fever_cyclical,mild,Low,en,synthetic,5
I told the doctor that slight pink tinge to urine during period.,S016,haematuria,mild,Moderate,en,synthetic,8
Every month I suffer from stomach upset with period.,S012,diarrhoea_cyclical,moderate,Low,en-KE,synthetic,5
I am struggling with slight always in pain.,S002,chronic_pelvic_pain,mild,Moderate,en,synthetic,10
been trying for over a year.,S026,infertility,critical,Critical,en,synthetic,9
I have sex is unbearable.,S006,dyspareunia_deep,critical,Critical,en,synthetic,9
I want you to know that I cannot function during my period.,S001,dysmenorrhoea,severe,High,en-KE,synthetic,10
I want you to know that pain in my lower belly.,S002,chronic_pelvic_pain,critical,Critical,en-KE,synthetic,10
Nilikuja hospitalini kwa sababu ya tumbo la chini linauma.,S002,chronic_pelvic_pain,severe,High,sw,synthetic,10
"Doctor, I have blood after intercourse and I do not know what to do.",S008,post_coital_bleeding,moderate,Low,en,synthetic,5
My main problem is blood in pee.,S016,haematuria,moderate,Moderate,en,synthetic,8
For the past few months I have had anxiety.,S030,anxiety,severe,Moderate,en,synthetic,4
I told the doctor that told it is just period pain.,S038,previous_misdiagnosis,severe,Moderate,en,synthetic,6
The problem I have is that trying for over a year.,S026,infertility,moderate,Moderate,en,synthetic,9
Sijui nifanye nini kuhusu mgongo unaniuma.,S018,lower_back_pain,critical,High,sw,synthetic,7
"Sijui nifanye nini kuhusu tumbo la chini linauma, for over 36 months.",S002,chronic_pelvic_pain,critical,Critical,sw,synthetic,10
I have low iron.,S023,anaemia,severe,Moderate,en,synthetic,6
Since I was young I have had stomach upset with period.,S012,diarrhoea_cyclical,severe,Moderate,en-KE,synthetic,5
I came to the clinic because of sometimes loose during period.,S012,diarrhoea_cyclical,mild,Low,en,synthetic,5
My experience is that legs feel heavy during period.,S019,leg_pain_sciatica,mild,Low,en,synthetic,7
Tatizo langu kuu ni dawa hazisaidii maumivu yangu.,S038,previous_misdiagnosis,moderate,Moderate,sw,synthetic,6
I cannot work properly because of nearly faint during period.,S025,fainting_syncope,moderate,Moderate,en,synthetic,8
I am struggling with severe spotting between periods.,S004,intermenstrual_bleeding,severe,Moderate,en,synthetic,6
Nimekuwa na kuumwa unapokwenda chooni kwa muda mrefu.,S009,dyschezia,mild,Moderate,sw,synthetic,9
"I want you to know that I lose days every month, for the past 24 months.",S036,work_school_absence,critical,High,en,synthetic,7
I experience significant flooding periods regularly.,S005,heavy_menstrual_bleeding,moderate,Moderate,en,synthetic,7
The problem I have is that pee a bit more during period.,S017,urinary_frequency,mild,Low,en,synthetic,5
The problem I have is that cannot breathe well during period.,S032,catamenial_pneumothorax,moderate,Moderate,en,synthetic,9
The problem I have is that blood in urine every period.,S016,haematuria,moderate,Moderate,en,synthetic,8
"Nina nimechoka sana kila wakati, for 2 years.",S022,fatigue_chronic,critical,High,sw,synthetic,7
Tatizo langu kuu ni mgongo unaniuma.,S018,lower_back_pain,moderate,Moderate,sw,synthetic,7
I have been dealing with severe breathing problems during period for a while now.,S032,catamenial_pneumothorax,severe,High,en,synthetic,9
bleed after sex most times.,S008,post_coital_bleeding,moderate,Low,en,synthetic,5
I have cannot hold my bladder.,S017,urinary_frequency,moderate,Low,en,synthetic,5
I am struggling with slightly bloated around period.,S014,bloating_abdominal,mild,Low,en,synthetic,5
I bleed even when it is not my time.,S004,intermenstrual_bleeding,severe,Moderate,en,synthetic,6
I am here because depressed most of the time.,S029,depression,moderate,Low,en,synthetic,5
Sijui nifanye nini kuhusu kuumwa unapokojoa.,S015,dysuria,mild,Low,sw,synthetic,7
I told the doctor that trying for a baby without success.,S026,infertility,severe,High,en-KE,synthetic,9
I cannot work properly because of bleeding constantly.,S027,irregular_periods,critical,High,en,synthetic,5
I have had unbearable shoulder pain during period since I was a teenager.,S020,shoulder_tip_pain,critical,High,en,synthetic,6
I have been dealing with feel faint during period for a while now.,S025,fainting_syncope,mild,Moderate,en,synthetic,8
"Tatizo langu kuu ni hedhi inaniuma, for the past 2 months.",S001,dysmenorrhoea,mild,Moderate,sw,synthetic,10
My main problem is shoulder pain every period.,S020,shoulder_tip_pain,moderate,Moderate,en,synthetic,6
I experience pain in groin area regularly.,S021,hip_groin_pain,mild,Low,en,synthetic,6
My main problem is unbearable cannot hold my bladder.,S017,urinary_frequency,critical,High,en,synthetic,5
Tatizo langu kuu ni damu kidogo mwilini.,S023,anaemia,severe,Moderate,sw,synthetic,6
The problem I have is that blood in sputum during period.,S033,catamenial_haemoptysis,mild,Moderate,en,synthetic,8
The problem I have is that pain at top of shoulder during menstruation.,S020,shoulder_tip_pain,severe,Moderate,en,synthetic,6
I want you to know that pain starts a few days early.,S003,premenstrual_pain,moderate,Moderate,en,synthetic,7
For the past few months I have had foot drop.,S019,leg_pain_sciatica,critical,High,en,synthetic,7
I came to the clinic because of extreme frequent urination.,S017,urinary_frequency,critical,High,en,synthetic,5
I have very bad back ache with period.,S018,lower_back_pain,severe,Moderate,en,synthetic,7
"Nimekuwa na maumivu ya nyonga kwa muda mrefu, for 2 years.",S002,chronic_pelvic_pain,mild,Moderate,sw,synthetic,10
My main problem is unbearable cannot tolerate penetration.,S007,dyspareunia_superficial,critical,High,en,synthetic,6
I have stomach swells up and it is really affecting me.,S014,bloating_abdominal,moderate,Low,en-KE,synthetic,5
Tatizo langu kuu ni dawa hazisaidii maumivu yangu.,S038,previous_misdiagnosis,mild,Low,sw,synthetic,6
I have low blood.,S023,anaemia,mild,Low,en,synthetic,6
"Doctor, I have cannot function and I do not know what to do.",S001,dysmenorrhoea,severe,High,en,synthetic,10
My experience is that lump in belly button requiring surgery.,S034,umbilical_pain_bleeding,critical,High,en,synthetic,8
Nimekuwa nikilalamika kuhusu kuumwa unapokojoa.,S015,dysuria,moderate,Moderate,sw,synthetic,7
I am here because severe pain every time I urinate during period.,S015,dysuria,severe,Moderate,en,synthetic,7
My main problem is running stomach during period.,S012,diarrhoea_cyclical,moderate,Low,en,synthetic,5
The problem I have is that pain when going to the toilet.,S009,dyschezia,critical,Critical,en-KE,synthetic,9
I am here because pain when going to the toilet.,S009,dyschezia,critical,Critical,en-KE,synthetic,9
I am here because blood when not on period.,S004,intermenstrual_bleeding,moderate,Moderate,en-KE,synthetic,6
"Doctor, I have bleeding from back passage and I do not know what to do.",S010,rectal_bleeding,severe,High,en,synthetic,8
I have slightly low blood count.,S023,anaemia,mild,Low,en,synthetic,6
"Doctor, I have periods are not regular and I do not know what to do.",S027,irregular_periods,mild,Low,en,synthetic,5
I have had cannot leave the house since I was a teenager.,S030,anxiety,critical,Moderate,en,synthetic,4
been to many doctors with no answer.,S038,previous_misdiagnosis,severe,Moderate,en,synthetic,6
Every month I suffer from stomach swells up.,S014,bloating_abdominal,severe,Moderate,en-KE,synthetic,5
"I cannot function during my period, for 6 months now.",S001,dysmenorrhoea,severe,High,en-KE,synthetic,10
My main problem is slight pain day before.,S003,premenstrual_pain,mild,Low,en,synthetic,7
I am here because I lose days every month.,S036,work_school_absence,critical,High,en,synthetic,7
I need help with stomach upset with period.,S012,diarrhoea_cyclical,mild,Low,en-KE,synthetic,5
I want you to know that cannot raise arm during period.,S020,shoulder_tip_pain,severe,Moderate,en,synthetic,6
I am struggling with excruciating random bleeding.,S004,intermenstrual_bleeding,critical,High,en,synthetic,6
My experience is that been trying for over a year.,S026,infertility,mild,Moderate,en,synthetic,9
My experience is that my back is in agony during my period.,S018,lower_back_pain,critical,High,en,synthetic,7
"Doctor, I have vaginal pain during sex and I do not know what to do.",S007,dyspareunia_superficial,mild,Low,en,synthetic,6
I have no social life anymore.,S037,relationship_social_impact,severe,Moderate,en,synthetic,5
Nina damu kidogo mwilini.,S023,anaemia,mild,Low,sw,synthetic,6
My experience is that suffering for years with no diagnosis.,S038,previous_misdiagnosis,critical,High,en,synthetic,6
I told the doctor that blood when not on period.,S004,intermenstrual_bleeding,severe,Moderate,en-KE,synthetic,6
"Doctor, I have in bed from exhaustion and I do not know what to do.",S022,fatigue_chronic,severe,Moderate,en,synthetic,7
I cannot work properly because of cancel plans sometimes.,S037,relationship_social_impact,mild,Low,en,synthetic,5
told it is just period pain.,S038,previous_misdiagnosis,mild,Low,en-KE,synthetic,6
pain when going to the toilet.,S009,dyschezia,severe,High,en-KE,synthetic,9
Nilikuja hospitalini kwa sababu ya maumivu wakati wa kujamiiana.,S006,dyspareunia_deep,critical,Critical,sw,synthetic,9
Nimekuwa nikilalamika kuhusu hedhi inaniuma.,S001,dysmenorrhoea,severe,High,sw,synthetic,10
I cannot work properly because of regular coughing blood during period.,S033,catamenial_haemoptysis,moderate,Moderate,en,synthetic,8
kuhisi kichefuchefu wakati wa hedhi.,S013,nausea_vomiting_cyclical,critical,High,sw,synthetic,6
"For the past few months I have had anxiety is disabling, for 6 years.",S030,anxiety,severe,Moderate,en,synthetic,4
"I came to the clinic because of slight low mood, for over 6 months.",S029,depression,mild,Low,en,synthetic,5
"My main problem is cannot socialise during period, since I was 19 years old.",S037,relationship_social_impact,mild,Low,en,synthetic,5
I cannot work properly because of very bad unpredictable periods.,S027,irregular_periods,severe,Moderate,en,synthetic,5
"I came to the clinic because of miss work during period, for the past 24 months.",S036,work_school_absence,critical,High,en,synthetic,7
I told the doctor that told I have a cyst.,S028,pelvic_mass_sensation,moderate,Moderate,en,synthetic,7
"I experience pain between periods regularly, for 3 years.",S002,chronic_pelvic_pain,mild,Moderate,en,synthetic,10
I told the doctor that painful lump at belly button.,S034,umbilical_pain_bleeding,severe,High,en,synthetic,8
I cannot work properly because of infertility.,S026,infertility,severe,High,en,synthetic,9
The problem I have is that take days off for period.,S036,work_school_absence,severe,Moderate,en,synthetic,7
I told the doctor that blood in sputum during period.,S033,catamenial_haemoptysis,critical,High,en,synthetic,8
"Doctor, I have excruciating low mood and I do not know what to do.",S029,depression,critical,High,en,synthetic,5
"Doctor, I have occasional sciatic pain with period and I do not know what to do.",S019,leg_pain_sciatica,mild,Low,en,synthetic,7
I told the doctor that pain when going to the toilet.,S009,dyschezia,mild,Moderate,en-KE,synthetic,9
I have come to see the doctor because of stomach swells up.,S014,bloating_abdominal,mild,Low,en-KE,synthetic,5
I told the doctor that my back is in agony during my period.,S018,lower_back_pain,severe,Moderate,en-KE,synthetic,7
belly button pain during period.,S034,umbilical_pain_bleeding,severe,High,en,synthetic,8
Nina mgongo unaniuma.,S018,lower_back_pain,mild,Low,sw,synthetic,7
"I experience cancel plans sometimes regularly, for over 36 months.",S037,relationship_social_impact,mild,Low,en,synthetic,5
pelvic pain a week before my period.,S003,premenstrual_pain,moderate,Moderate,en,synthetic,7
"I have had constant pelvic pain since I was a teenager, for 12 months now.",S002,chronic_pelvic_pain,moderate,High,en,synthetic,10
I am here because my back is in agony during my period.,S018,lower_back_pain,moderate,Moderate,en-KE,synthetic,7
I told the doctor that use more pads than before.,S005,heavy_menstrual_bleeding,mild,Low,en,synthetic,7
I am here because pain in my lower belly.,S002,chronic_pelvic_pain,severe,High,en-KE,synthetic,10
I experience total exhaustion regularly.,S022,fatigue_chronic,critical,High,en,synthetic,7
I am struggling with extreme sleep problems.,S031,sleep_disturbance,critical,Moderate,en,synthetic,4
Nina hedhi nyingi sana.,S005,heavy_menstrual_bleeding,moderate,Moderate,sw,synthetic,7
I have had unbearable painful urination since I was a teenager.,S015,dysuria,critical,High,en,synthetic,7
I am struggling with IVF recommended.,S026,infertility,severe,High,en,synthetic,9
I need help with stomach swells up.,S014,bloating_abdominal,severe,Moderate,en-KE,synthetic,5
I have hip aches sometimes.,S021,hip_groin_pain,mild,Low,en,synthetic,6
My experience is that I avoid sex because it hurts.,S006,dyspareunia_deep,mild,Moderate,en-KE,synthetic,9
I am here because sometimes bleed a little after sex.,S008,post_coital_bleeding,mild,Low,en,synthetic,5
I want you to know that cannot breathe properly from bloating.,S014,bloating_abdominal,critical,High,en,synthetic,5
My experience is that told I have a cyst.,S028,pelvic_mass_sensation,critical,High,en-KE,synthetic,7
I want you to know that pain when going to the toilet.,S009,dyschezia,mild,Moderate,en-KE,synthetic,9
I want you to know that kuhisi kichefuchefu wakati wa hedhi.,S013,nausea_vomiting_cyclical,moderate,Moderate,sw,synthetic,6
For the past few months I have had extreme constipation during period.,S011,constipation_cyclical,critical,High,en,synthetic,6
I told the doctor that sometimes bleed a little after sex.,S008,post_coital_bleeding,mild,Low,en,synthetic,5
painful lump at belly button.,S034,umbilical_pain_bleeding,moderate,Moderate,en,synthetic,8
The problem I have is that trying for a baby without success.,S026,infertility,moderate,Moderate,en,synthetic,9
I came to the clinic because of unbearable diagnosed with IBS.,S038,previous_misdiagnosis,critical,High,en,synthetic,6
"I told the doctor that I cannot be intimate with my partner, for 24 years.",S037,relationship_social_impact,severe,Moderate,en,synthetic,5
I am here because told I have a cyst.,S028,pelvic_mass_sensation,moderate,Moderate,en-KE,synthetic,7
Tatizo langu kuu ni kuumwa unapokwenda chooni.,S009,dyschezia,critical,Critical,sw,synthetic,9
My main problem is regular miss work during period.,S036,work_school_absence,moderate,Moderate,en,synthetic,7
belly button bleeds during period.,S034,umbilical_pain_bleeding,moderate,Moderate,en,synthetic,8
I have low blood and it is really affecting me.,S023,anaemia,moderate,Moderate,en-KE,synthetic,6
Nilikuja hospitalini kwa sababu ya mgongo unaniuma.,S018,lower_back_pain,mild,Low,sw,synthetic,7
I told the doctor that trying for a baby without success.,S026,infertility,critical,Critical,en-KE,synthetic,9
I experience vaginal pain during sex regularly.,S007,dyspareunia_superficial,critical,High,en,synthetic,6
"Doctor, I have significant miss work during period and I do not know what to do.",S036,work_school_absence,moderate,Moderate,en,synthetic,7
I want you to know that told I have a cyst.,S028,pelvic_mass_sensation,mild,Low,en-KE,synthetic,7
I came to the clinic because of emergency after sex bleeding.,S008,post_coital_bleeding,critical,High,en,synthetic,5
Nina kuumwa unapokojoa.,S015,dysuria,severe,Moderate,sw,synthetic,7
My experience is that sijawahi pata mtoto ingawa ninajaribu.,S026,infertility,moderate,Moderate,sw,synthetic,9
I am here because pain in my lower back.,S018,lower_back_pain,moderate,Moderate,en,synthetic,7
My main problem is unbearable cannot sleep from pain.,S031,sleep_disturbance,critical,Moderate,en,synthetic,4
I have come to see the doctor because of pain passing urine.,S015,dysuria,critical,High,en-KE,synthetic,7
My experience is that miss school from period pain.,S036,work_school_absence,severe,Moderate,en-KE,synthetic,7
My experience is that pain when going to the toilet.,S009,dyschezia,critical,Critical,en-KE,synthetic,9
My main problem is intense blood in urine.,S016,haematuria,severe,High,en,synthetic,8
"The problem I have is that pain wakes me at night, for the past 2 months.",S031,sleep_disturbance,mild,Low,en,synthetic,4
I am here because blood when not on period.,S004,intermenstrual_bleeding,mild,Low,en-KE,synthetic,6
I experience need laxatives regularly.,S011,constipation_cyclical,moderate,Moderate,en,synthetic,6
My main problem is extreme collapsing from pain.,S025,fainting_syncope,critical,High,en,synthetic,8
Nimekuwa na kujamiiana kunauma kwa muda mrefu.,S006,dyspareunia_deep,mild,Moderate,sw,synthetic,9
My experience is that hospital for vomiting during period.,S013,nausea_vomiting_cyclical,critical,High,en,synthetic,6
The problem I have is that blood in my poop during period.,S010,rectal_bleeding,moderate,Moderate,en,synthetic,8
"I am here because chronic pain in my pelvis, for 24 years.",S002,chronic_pelvic_pain,severe,High,en,synthetic,10
pain even when I am not on my period.,S002,chronic_pelvic_pain,moderate,High,en-KE,synthetic,10
I experience uchovu kupita kiasi regularly.,S022,fatigue_chronic,severe,Moderate,en,synthetic,7
The problem I have is that my period is too much.,S005,heavy_menstrual_bleeding,mild,Low,en-KE,synthetic,7
Sijui nifanye nini kuhusu mgongo unaniuma.,S018,lower_back_pain,mild,Low,sw,synthetic,7
I want you to know that feeling of pressure in pelvis.,S028,pelvic_mass_sensation,critical,High,en,synthetic,7
I am here because pain at the entrance during sex.,S007,dyspareunia_superficial,severe,Moderate,en,synthetic,6
I experience moderate fear about my fertility regularly.,S030,anxiety,moderate,Low,en,synthetic,4
I have been dealing with something feels different inside for a while now.,S028,pelvic_mass_sensation,critical,High,en,synthetic,7
I have no one believed me and it is really affecting me.,S038,previous_misdiagnosis,severe,Moderate,en-KE,synthetic,6
I have been dealing with shoulder agony during period for a while now.,S020,shoulder_tip_pain,critical,High,en,synthetic,6
Tatizo langu kuu ni damu nyingi sana.,S005,heavy_menstrual_bleeding,moderate,Moderate,sw,synthetic,7
need to pee all the time.,S017,urinary_frequency,severe,Moderate,en,synthetic,5
I came to the clinic because of intense no one believed me.,S038,previous_misdiagnosis,severe,Moderate,en,synthetic,6
My experience is that pain when going to the toilet.,S009,dyschezia,severe,High,en-KE,synthetic,9
I am here because my back is in agony during my period.,S018,lower_back_pain,critical,High,en-KE,synthetic,7
I came to the clinic because of light spotting sometimes.,S004,intermenstrual_bleeding,mild,Low,en,synthetic,6
My experience is that cycle is all over the place.,S027,irregular_periods,severe,Moderate,en,synthetic,5
I am struggling with unbearable shoulder pain during period.,S020,shoulder_tip_pain,critical,High,en,synthetic,6
I have been dealing with miss periods for a while now.,S027,irregular_periods,severe,Moderate,en,synthetic,5
I told the doctor that miss school from period pain.,S036,work_school_absence,critical,High,en-KE,synthetic,7
Sijui nifanye nini kuhusu tumbo la chini linauma.,S002,chronic_pelvic_pain,moderate,High,sw,synthetic,10
Nina hedhi inaniuma.,S001,dysmenorrhoea,moderate,High,sw,synthetic,10
blood when I go to the toilet during my period.,S010,rectal_bleeding,mild,Moderate,en,synthetic,8
I am struggling with blood clots.,S005,heavy_menstrual_bleeding,mild,Low,en,synthetic,7
Nimekuwa na kuumwa unapokwenda chooni kwa muda mrefu.,S009,dyschezia,severe,High,sw,synthetic,9
Nimekuwa nikilalamika kuhusu dawa hazisaidii maumivu yangu.,S038,previous_misdiagnosis,moderate,Moderate,sw,synthetic,6
Every month I suffer from stomach upset with period.,S012,diarrhoea_cyclical,severe,Moderate,en-KE,synthetic,5
Nina maumivu wakati wa kujamiiana.,S006,dyspareunia_deep,critical,Critical,sw,synthetic,9
"Doctor, I have pale from blood loss and I do not know what to do.",S023,anaemia,moderate,Moderate,en,synthetic,6
The problem I have is that my back is in agony during my period.,S018,lower_back_pain,mild,Low,en-KE,synthetic,7
I have come to see the doctor because of low blood.,S023,anaemia,mild,Low,en-KE,synthetic,6
Every month I suffer from low blood.,S023,anaemia,moderate,Moderate,en-KE,synthetic,6
I told the doctor that my period is too much.,S005,heavy_menstrual_bleeding,severe,Moderate,en-KE,synthetic,7
For the past few months I have had regular uchovu kupita kiasi.,S022,fatigue_chronic,moderate,Moderate,en,synthetic,7
I have low blood and it is really affecting me.,S023,anaemia,mild,Low,en-KE,synthetic,6
I want you to know that bleed after sex most times.,S008,post_coital_bleeding,moderate,Low,en,synthetic,5
I have been dealing with unbearable loose stools during period for a while now.,S012,diarrhoea_cyclical,critical,High,en,synthetic,5
